,tid,lat,lon,poi,category
0,127,40.8340978041072,-73.94526722258809,21580,Food
1,127,40.567196,-73.882576,2392,Travel & Transport
2,127,40.6899127194574,-73.9815044403076,35589,Travel & Transport
3,127,40.7085883614824,-73.9910316467285,18603,Travel & Transport
4,127,40.8331652006224,-73.9418603427692,36348,Residence
5,127,40.7085883614824,-73.9910316467285,18603,Travel & Transport
6,127,40.7590904609109,-73.83005619049071,19163,Travel & Transport
7,127,40.759478666551104,-73.8300985117754,13172,Travel & Transport
8,127,40.6899127194574,-73.9815044403076,35589,Travel & Transport
9,127,40.848758995216,-73.9382779598236,10736,Travel & Transport
10,127,40.84884583332301,-73.9384174346924,363,Travel & Transport
11,127,40.88214078989179,-74.0422647901029,34767,Travel & Transport
12,127,40.91417799759071,-74.17763521463101,26558,Professional & Other Places
13,127,40.7572212983984,-73.9915466308594,35349,Travel & Transport
14,127,40.7617816261867,-73.9850546682068,27820,Food
15,127,40.815540684618,-73.9584234721819,4496,Travel & Transport
16,127,40.8331652006224,-73.9418603427692,33179,Residence
17,127,40.8341815824087,-73.945187330246,30840,Travel & Transport
18,127,40.8346576535679,-73.9451868588011,17000,Shop & Service
19,127,40.8331652006224,-73.9418603427692,33179,Residence
20,127,40.8341610206876,-73.94503761167971,27823,Food
21,127,40.8331652006224,-73.9418603427692,15703,Residence
22,128,40.660473835167,-73.83029108918642,22898,Travel & Transport
23,128,40.6086420833785,-73.8190376758575,35508,Outdoors & Recreation
24,128,40.73405557647629,-73.8708472251892,1655,Shop & Service
25,128,40.733372474683705,-73.8711404741537,15419,Travel & Transport
26,128,40.7631337910326,-73.8752118314646,33403,Travel & Transport
27,128,40.7572212983984,-73.9915466308594,35349,Travel & Transport
28,128,40.7564898726738,-73.9862680435181,21033,Outdoors & Recreation
29,128,40.815540684618,-73.9584234721819,4496,Travel & Transport
30,128,40.8331652006224,-73.9418603427692,36348,Residence
31,128,40.83128282647829,-73.941392502021,25127,Travel & Transport
32,128,40.6900872257332,-73.9817776229191,11007,Professional & Other Places
33,128,40.8278390825735,-73.92576813697809,4278,Travel & Transport
34,128,40.8331652006224,-73.9418603427692,15703,Residence
35,128,40.7085883614824,-73.9910316467285,18603,Travel & Transport
36,128,40.6914746462291,-73.9873838424683,9227,Travel & Transport
37,128,40.7306323510853,-73.9996371281808,24929,College & University
38,128,40.8002312249141,-73.8288116455078,19147,Outdoors & Recreation
39,128,40.86046649134129,-73.92554283142091,1220,Travel & Transport
40,129,40.821344149632296,-73.9540386199951,16181,Travel & Transport
41,129,40.6900872257332,-73.9817776229191,11007,Professional & Other Places
42,129,40.6897825572405,-73.9810752868652,24955,Food
43,129,40.6889893757358,-73.98129925131799,32848,Travel & Transport
44,129,40.662169710863296,-73.86484090153671,3325,Travel & Transport
45,129,40.6963140173316,-73.9906616720344,20072,Outdoors & Recreation
46,129,40.6887540940881,-73.9806412614152,3431,Food
47,129,40.7085883614824,-73.9910316467285,18603,Travel & Transport
48,129,40.7710592625284,-73.9176545604588,6483,Travel & Transport
49,129,40.7660790376824,-73.88352870941159,26534,Travel & Transport
50,129,40.803291864361896,-73.9328276594543,5841,Travel & Transport
51,129,40.6904333657826,-73.9852809906006,19281,Travel & Transport
52,129,40.6900872257332,-73.9817776229191,11007,Professional & Other Places
53,129,40.6899127194574,-73.9815044403076,35589,Travel & Transport
54,129,40.6963140173316,-73.9906616720344,20072,Outdoors & Recreation
55,129,40.6887540940881,-73.9806412614152,3431,Food
56,129,40.7661619622658,-73.9775764953862,28739,Travel & Transport
57,129,40.8331652006224,-73.9418603427692,15703,Residence
58,129,40.6900872257332,-73.9817776229191,11007,Professional & Other Places
59,129,40.7136501283367,-73.830267186553,21965,Travel & Transport
60,129,40.6901232953871,-73.9840790213382,14507,Food
61,129,40.8079950658704,-73.9638555049896,5679,Travel & Transport
62,130,40.8331652006224,-73.9418603427692,15703,Residence
63,130,40.675536508907705,-73.8717549157205,34228,Travel & Transport
64,130,40.6990888502098,-73.80676279569451,36806,Travel & Transport
65,130,40.7519046092262,-73.9866960394024,19161,Travel & Transport
66,130,40.7014573241921,-74.01321428847191,1483,Travel & Transport
67,130,40.8332608333333,-73.94581555,17083,College & University
68,130,40.8173027038574,-73.9585418701172,29183,Travel & Transport
69,130,40.773839,-73.87122,37696,Travel & Transport
70,130,40.7631337910326,-73.8752118314646,33403,Travel & Transport
71,130,40.7592855009274,-73.83078575134279,13077,Travel & Transport
72,130,40.7590904609109,-73.83005619049071,19163,Travel & Transport
73,130,40.83429877508829,-74.0979492166034,4550,Travel & Transport
74,130,40.91417799759071,-74.17763521463101,26558,Professional & Other Places
75,132,40.8331652006224,-73.9418603427692,15703,Residence
76,132,40.6900872257332,-73.9817776229191,11007,Professional & Other Places
77,132,40.7700768232489,-73.917989730835,24630,Travel & Transport
78,132,40.773839,-73.87122,37696,Travel & Transport
79,132,40.8331652006224,-73.9418603427692,36348,Residence
80,132,40.6996886534352,-73.80783123752809,11835,Travel & Transport
81,132,40.6900872257332,-73.9817776229191,11007,Professional & Other Places
82,132,40.6904333657826,-73.9852809906006,19281,Travel & Transport
83,132,40.8331652006224,-73.9418603427692,15703,Residence
84,132,40.7085883614824,-73.9910316467285,18603,Travel & Transport
85,132,40.8331652006224,-73.9418603427692,15703,Residence
86,134,40.5769992443877,-73.98152589797971,115,Professional & Other Places
87,134,40.6526759641946,-74.0021467208862,15348,Travel & Transport
88,134,40.6557390232741,-73.90721698547141,33086,Travel & Transport
89,134,40.6194741140845,-73.9899587631226,14246,Travel & Transport
90,134,40.7085883614824,-73.9910316467285,18603,Travel & Transport
91,134,40.6880585097395,-73.9804905425158,34060,Travel & Transport
92,134,40.7085883614824,-73.9910316467285,18603,Travel & Transport
93,134,40.6914746462291,-73.9873838424683,9227,Travel & Transport
94,134,40.83128282647829,-73.941392502021,25127,Travel & Transport
95,134,40.8331652006224,-73.9418603427692,15703,Residence
96,134,40.8341815824087,-73.945187330246,30840,Travel & Transport
97,134,40.6053194625755,-73.9804116926189,4360,Travel & Transport
98,134,40.5774555812085,-73.9812469482422,11376,Travel & Transport
99,134,40.7564898726738,-73.9862680435181,21033,Outdoors & Recreation
100,134,40.8341610206876,-73.94503761167971,27823,Food
101,134,40.5774555812085,-73.9812469482422,11376,Travel & Transport
102,134,40.6900872257332,-73.9817776229191,11007,Professional & Other Places
103,134,40.815540684618,-73.9584234721819,4496,Travel & Transport
104,134,40.8192174354861,-73.9571721746063,29826,Travel & Transport
105,134,40.7564898726738,-73.9862680435181,21033,Outdoors & Recreation
106,134,40.855947020185205,-73.9008381921455,26217,Food
107,134,40.8660975573721,-73.8943862915039,29371,Travel & Transport
108,137,40.8331652006224,-73.9418603427692,15703,Residence
109,137,40.6880585097395,-73.9804905425158,34060,Travel & Transport
110,137,40.7679967046751,-73.9818906784058,13115,Travel & Transport
111,137,40.8331652006224,-73.9418603427692,36348,Residence
112,137,40.6900872257332,-73.9817776229191,11007,Professional & Other Places
113,137,40.69014050272521,-73.9819765090942,22804,Food
114,137,40.750724,-73.987128,17844,Food
115,137,40.7497034836652,-73.9878129959106,799,Travel & Transport
116,137,40.7519046092262,-73.9866960394024,19161,Travel & Transport
117,137,40.6899127194574,-73.9815044403076,35589,Travel & Transport
